"Occupancy Rate by Region (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Northland","","","Auckland","","","Waikato","","","Bay of Plenty","","","Hawke's Bay, Gisborne","","","Taranaki, Manawatu, Wanganui","","","Wellington","","","Nelson, Marlborough, Tasman","","","Canterbury","","","West Coast","","","Otago","","","Southland","","","North Island","","","South Island","","","New Zealand","",""
" ","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks"
"1999M02",26.26,54.99,3598,56.41,67.09,11163,32.49,57.24,5025,36.12,59.10,5170,35.93,60.26,2188,29.99,40.87,4558,59.12,73.65,4213,42.66,69.68,3375,38.99,67.92,9145,49.99,58.25,2658,44.82,67.07,7358,49.61,63.59,2193,"..","..",35915,"..","..",24729,40.97,62.87,60644
"1999M03",22.86,49.94,3604,53.93,64.47,11224,31.26,58.10,5008,31.03,54.40,5213,31.44,55.76,2168,28.25,39.93,4659,57.68,72.47,4195,35.35,61.25,3362,33.32,58.48,9150,40.71,49.80,2636,38.12,58.70,7368,41.35,55.79,2203,"..","..",36071,"..","..",24719,36.53,57.85,60790
"1999M04",20.42,42.69,3597,44.16,53.45,11405,26.94,50.06,4949,34.21,58.72,5147,30.52,52.77,2135,27.31,38.67,4668,54.16,67.31,4211,28.60,49.28,3281,30.76,50.95,9168,33.89,40.74,2514,33.77,51.37,7294,31.00,41.70,2110,"..","..",36112,"..","..",24367,32.78,50.99,60479
"1999M05",12.59,28.69,3566,39.34,48.62,11383,19.52,38.21,5015,23.06,43.48,5210,20.35,36.87,2184,20.74,31.21,4540,47.96,60.25,4290,18.60,33.08,3257,25.18,37.67,9181,19.47,24.83,2508,20.97,33.74,7290,19.16,27.78,2115,"..","..",36188,"..","..",24351,24.46,39.24,60539
"1999M06",11.64,26.95,3516,37.70,46.53,11303,21.31,42.33,5038,22.42,41.10,5229,21.51,38.47,2184,23.06,34.19,4555,48.92,61.61,4292,17.99,34.38,3191,24.63,36.78,9138,18.03,23.05,2541,19.21,31.06,7245,16.25,24.17,1988,"..","..",36117,"..","..",24103,24.05,38.70,60220
"1999M07",11.46,25.94,3505,42.08,51.83,11533,20.31,40.38,5037,23.83,44.47,5279,21.04,37.91,2209,21.76,31.96,4858,49.50,62.90,4292,15.81,30.67,3141,24.97,38.82,9237,17.51,23.14,2535,31.41,50.04,7215,16.42,22.86,1971,"..","..",36713,"..","..",24099,25.98,42.02,60812
"1999M08",11.92,26.87,3543,40.16,49.38,11729,18.84,37.16,5071,22.03,40.58,5229,19.79,36.16,2209,23.90,35.30,4940,46.63,59.76,4151,15.71,29.58,3234,27.78,42.90,9354,16.24,21.05,2549,35.40,56.07,7218,16.81,23.73,1958,"..","..",36872,"..","..",24313,26.20,42.15,61185
"1999M09",15.70,33.50,3559,47.26,57.78,12048,22.90,43.07,5163,26.78,46.98,5225,23.25,39.68,2216,28.94,42.50,5027,51.88,65.50,4347,20.87,38.41,3229,32.73,49.76,9322,24.97,29.46,2547,34.01,53.60,7306,21.82,27.97,2084,"..","..",37585,"..","..",24488,30.69,48.05,62073
"1999M10",18.75,38.60,3624,46.07,56.04,11989,24.37,44.75,5228,28.87,50.72,5284,25.80,44.16,2220,23.60,34.16,4965,49.01,60.99,4340,21.53,39.44,3242,29.28,52.14,9289,28.79,36.17,2574,29.54,45.66,7337,26.04,35.31,1984,"..","..",37650,"..","..",24426,29.92,47.62,62076
"1999M11",21.74,46.20,3616,57.28,70.38,11989,26.67,49.12,5195,31.80,58.69,5298,27.23,48.89,2237,24.05,35.70,4849,54.58,67.97,4362,28.90,54.08,3260,33.69,62.04,9099,37.96,48.69,2632,36.73,60.64,7276,34.45,46.96,2145,"..","..",37546,"..","..",24412,35.18,57.57,61958
"1999M12",27.66,46.09,3645,48.31,57.68,11824,31.16,45.56,5418,33.38,47.67,5378,28.34,43.79,2254,20.79,27.02,4903,45.96,54.93,4410,34.73,50.17,3287,29.70,48.68,9146,36.28,41.57,2670,34.82,52.09,7378,30.93,38.45,2154,"..","..",37832,"..","..",24635,33.83,48.26,62467
"2000M01",37.95,57.18,3670,53.45,60.34,12341,43.08,54.33,5795,49.60,59.65,5367,40.72,54.77,2288,28.35,32.72,4909,50.82,58.82,4432,54.81,67.32,3332,36.26,56.19,9259,50.06,52.26,2712,45.94,55.51,7417,39.38,46.60,2237,"..","..",38802,"..","..",24957,44.12,55.50,63759
"2000M02",27.29,56.19,3657,61.24,74.70,12373,34.16,57.42,5766,36.80,62.07,5327,34.05,56.65,2321,26.81,37.97,4944,58.82,72.51,4414,43.73,71.05,3379,39.50,69.37,9453,52.85,63.08,2719,43.49,68.19,7783,47.29,60.87,2243,"..","..",38802,"..","..",25577,41.77,64.70,64379
"2000M03",25.25,51.75,3678,52.41,63.41,12299,30.05,52.73,5808,32.50,58.44,5308,30.32,51.65,2346,26.32,38.50,4879,60.78,75.34,4415,37.08,63.88,3421,34.47,59.90,9508,44.48,53.67,2719,36.76,57.59,7843,40.29,54.05,2253,"..","..",38733,"..","..",25744,36.89,57.94,64477
"2000M04",23.34,47.36,3685,46.26,55.89,12345,28.61,49.10,5805,32.27,56.60,5320,30.18,49.93,2380,25.24,37.28,4862,53.98,66.45,4415,31.29,54.06,3397,32.20,54.73,9516,39.76,47.79,2676,37.44,54.97,7843,34.20,45.39,2138,"..","..",38812,"..","..",25570,34.30,52.88,64382
