"Actual by Accommodation by Type by Variable (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total","","","","","","Hotels","","","","","","Motels","","","","","","Backpackers","","","","","","Holiday parks","","","","","","Total excluding holiday parks","","","","",""
" ","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)","Number of establishments","Capacity (stay unit nights)","Number of guest nights","Occupancy rate (percent)","Average length of stay (nights)","Capacity (stay units)"
"2000M01",2881,3734291,3447370,44.1,2.2,120461,581,802993,702045,50.0,1.7,25903,1574,719169,995101,58.9,1.9,23199,294,454367,299989,59.8,1.9,14657,432,1757762,1450235,31.3,3.3,56702,2449,1976529,1997135,55.5,1.8,63759
"2000M02",2884,3508797,2548510,41.8,1.8,120993,581,754580,817353,66.9,1.7,26020,1577,673699,886873,65.5,1.8,23231,296,438712,286079,59.8,1.9,15128,430,1641806,558206,15.7,2.0,56614,2454,1866991,1990304,64.7,1.8,64379
"2000M03",2886,3741917,2358404,36.9,1.8,120707,587,811084,764469,58.2,1.7,26164,1574,717588,847482,59.8,1.7,23148,296,470115,279195,54.6,2.0,15165,429,1743130,467259,12.8,1.8,56230,2457,1998787,1891146,57.9,1.8,64477
"2000M04",2872,3596100,2284254,34.3,1.8,119870,579,779880,689168,52.2,1.7,25996,1575,699060,856284,56.3,1.8,23302,296,452520,244394,48.8,2.0,15084,422,1664640,494408,12.8,2.0,55488,2450,1931460,1789846,52.9,1.8,64382
"2000M05",2830,3553840,1394242,25.1,1.8,114640,570,797072,524218,43.9,1.7,25712,1564,717526,517466,40.2,1.7,23146,290,455793,173390,34.7,2.1,14703,406,1583449,179168,5.9,2.0,51079,2424,1970391,1215073,40.4,1.8,63561
"2000M06",2813,3441000,1315749,23.5,1.9,114700,569,768570,481890,40.4,1.8,25619,1557,693330,516216,39.3,1.8,23111,288,454020,157411,31.3,2.1,15134,399,1525080,160233,5.4,2.2,50836,2414,1915920,1155516,37.9,1.8,63864
"2000M07",2809,3531830,1664737,26.9,1.9,113930,568,804016,606974,46.1,1.8,25936,1556,718270,677470,45.1,1.8,23170,289,477803,190120,35.0,2.2,15413,396,1531741,190173,5.9,2.2,49411,2413,2000089,1474564,43.1,1.9,64519
"2000M08",2824,3539828,1582855,26.9,1.9,114188,575,806186,623301,48.4,1.9,26006,1561,717836,604860,43.4,1.9,23156,289,479074,184807,34.5,2.3,15454,399,1536732,169886,5.6,2.1,49572,2425,2003096,1412968,43.3,1.9,64616
"2000M09",2848,3447660,1703867,28.3,1.9,114922,576,780450,595888,46.9,1.8,26015,1569,698760,678661,47.1,1.8,23292,300,472470,181917,34.6,2.2,15749,403,1495980,247400,7.8,2.0,49866,2445,1951680,1456467,44.0,1.9,65056
"2000M10",2873,3598139,1946929,31.5,1.8,116069,577,813409,684790,53.3,1.8,26239,1576,725493,737869,50.5,1.8,23403,306,488777,202099,37.1,2.0,15767,414,1570460,322170,9.8,2.0,50660,2459,2027679,1624759,48.4,1.8,65409
"2000M11",2881,3594990,2184128,36.5,1.8,119833,574,790290,826480,65.7,1.7,26343,1578,703560,749728,56.3,1.7,23452,307,475560,260476,48.0,1.9,15852,422,1625580,347444,10.4,1.9,54186,2459,1969410,1836684,58.1,1.7,65647
"2000M12",2899,3748923,2697561,37.5,1.9,120933,574,816106,733285,51.8,1.7,26326,1589,728810,819961,51.1,1.8,23510,311,490575,294077,54.0,1.9,15825,425,1713432,850238,20.1,2.3,55272,2474,2035491,1847323,52.1,1.8,65661
"2001M01",2903,3762098,3740220,47.7,2.1,121358,580,821159,847948,58.1,1.7,26489,1590,732840,1088076,63.8,1.9,23640,308,494450,327131,59.3,2.0,15950,425,1713649,1477065,32.5,2.8,55279,2478,2048449,2263155,60.4,1.8,66079
"2001M02",2898,3387804,2645275,44.8,1.8,120993,578,739396,841803,69.7,1.7,26407,1587,656992,905223,68.3,1.8,23464,309,449540,307102,61.6,1.9,16055,424,1541876,591146,17.9,2.0,55067,2474,1845928,2054128,67.2,1.8,65926
"2001M03",2908,3748675,2616630,40.8,1.8,120925,580,820632,870016,66.1,1.7,26472,1593,728097,928539,64.4,1.7,23487,313,501363,310370,55.5,1.9,16173,422,1698583,507706,14.1,1.9,54793,2486,2050092,2108925,62.9,1.7,66132
"2001M04",2916,3617550,2244024,34.6,1.8,120585,585,798870,708591,53.1,1.7,26629,1600,708060,821279,54.9,1.8,23602,310,489360,263060,49.1,2.0,16312,421,1621260,451094,12.3,2.0,54042,2495,1996290,1792930,52.7,1.8,66543
"2001M05",2879,3589118,1519711,27.1,1.8,115778,581,828072,583637,47.0,1.7,26712,1590,729089,556007,42.2,1.8,23519,304,494915,193629,36.3,2.1,15965,404,1537042,186438,6.4,2.0,49582,2475,2052076,1333273,42.7,1.8,66196
